t;T_surf;M_Europa;M_loss;R_Europa;Density
22900.0000;276.726746;3.76730999E+20;0.00000000;310665.469;3000.00000
23000.0000;276.726746;3.78321228E+20;0.00000000;311102.031;3000.00000
23100.0000;276.726746;3.79911456E+20;0.00000000;311537.375;3000.00000
23200.0000;276.726746;3.81501684E+20;0.00000000;311971.500;3000.00000
23300.0000;276.726746;3.83091912E+20;0.00000000;312404.438;3000.00000
23400.0000;276.726746;3.84682140E+20;0.00000000;312836.188;3000.00000
23500.0000;276.726746;3.86272368E+20;0.00000000;313266.719;3000.00000
23600.0000;276.726746;3.87862596E+20;0.00000000;313696.094;3000.00000
23700.0000;276.726746;3.89452824E+20;0.00000000;314124.281;3000.00000
23800.0000;276.726746;3.91043052E+20;0.00000000;314551.312;3000.00000
23900.0000;276.726746;3.92633280E+20;0.00000000;314977.188;3000.00000
24000.0000;276.726746;3.94223508E+20;0.00000000;315401.906;3000.00000
24100.0000;276.726746;3.95813736E+20;0.00000000;315825.500;3000.00000
24200.0000;276.752472;3.97403964E+20;0.00000000;316247.938;3000.00000
24300.0000;276.752472;3.98994192E+20;0.00000000;316669.250;3000.00000
24400.0000;276.752472;4.00584420E+20;0.00000000;317089.469;3000.00000
24500.0000;276.752472;4.02174649E+20;0.00000000;317508.562;3000.00000
24600.0000;276.752472;4.03764877E+20;0.00000000;317926.562;3000.00000
24700.0000;276.752472;4.05355105E+20;0.00000000;318343.469;3000.00000
24800.0000;276.752472;4.06945333E+20;0.00000000;318759.281;3000.00000
24900.0000;276.752472;4.08535561E+20;0.00000000;319174.000;3000.00000
25000.0000;276.752472;4.10125789E+20;0.00000000;319587.656;3000.00000
25100.0000;276.752472;4.11716017E+20;0.00000000;320000.250;3000.00000
25200.0000;276.752472;4.13306245E+20;0.00000000;320411.781;3000.00000
25300.0000;276.752472;4.14896473E+20;0.00000000;320822.250;3000.00000
25400.0000;276.752472;4.16486701E+20;0.00000000;321231.688;3000.00000
25500.0000;276.752472;4.18076929E+20;0.00000000;321640.062;3000.00000
25600.0000;276.752472;4.19667157E+20;0.00000000;322047.406;3000.00000
25700.0000;276.752472;4.21257385E+20;0.00000000;322453.719;3000.00000
25800.0000;276.752472;4.22847613E+20;0.00000000;322859.031;3000.00000
25900.0000;276.752472;4.24437841E+20;0.00000000;323263.312;3000.00000
26000.0000;276.752472;4.26028069E+20;0.00000000;323666.594;3000.00000
26100.0000;276.752472;4.27618298E+20;0.00000000;324068.875;3000.00000
26200.0000;276.752472;4.29208526E+20;0.00000000;324470.156;3000.00000
26300.0000;276.752472;4.30798754E+20;0.00000000;324870.438;3000.00000
26400.0000;276.752472;4.32388982E+20;0.00000000;325269.750;3000.00000
26500.0000;276.752472;4.33979210E+20;0.00000000;325668.094;3000.00000
26600.0000;276.752472;4.35569438E+20;0.00000000;326065.469;3000.00000
26700.0000;276.752472;4.37159666E+20;0.00000000;326461.875;3000.00000
26800.0000;276.778198;4.38749894E+20;0.00000000;326857.312;3000.00000
26900.0000;276.778198;4.40340122E+20;0.00000000;327251.781;3000.00000
27000.0000;276.778198;4.41930350E+20;0.00000000;327645.312;3000.00000
27100.0000;276.778198;4.43520578E+20;0.00000000;328037.906;3000.00000
27200.0000;276.778198;4.45110806E+20;0.00000000;328429.562;3000.00000
27300.0000;276.778198;4.46701034E+20;0.00000000;328820.281;3000.00000
27400.0000;276.778198;4.48291262E+20;0.00000000;329210.062;3000.00000
27500.0000;276.778198;4.49881490E+20;0.00000000;329598.938;3000.00000
27600.0000;276.778198;4.51471719E+20;0.00000000;329986.906;3000.00000
27700.0000;276.778198;4.53061947E+20;0.00000000;330373.969;3000.00000
27800.0000;276.778198;4.54652175E+20;0.00000000;330760.125;3000.00000
27900.0000;276.778198;4.56242403E+20;0.00000000;331145.375;3000.00000
28000.0000;276.778198;4.57832631E+20;0.00000000;331529.719;3000.00000
28100.0000;276.778198;4.59422859E+20;0.00000000;331913.188;3000.00000
28200.0000;276.778198;4.61013087E+20;0.00000000;332295.750;3000.00000
28300.0000;276.778198;4.62603315E+20;0.00000000;332677.469;3000.00000
28400.0000;276.778198;4.64193543E+20;0.00000000;333058.281;3000.00000
28500.0000;276.778198;4.65783771E+20;0.00000000;333438.250;3000.00000
28600.0000;276.778198;4.67373999E+20;0.00000000;333817.344;3000.00000
28700.0000;276.778198;4.68964227E+20;0.00000000;334195.594;3000.00000
28800.0000;276.778198;4.70554455E+20;0.00000000;334572.969;3000.00000
28900.0000;276.778198;4.72144683E+20;0.00000000;334949.500;3000.00000
29000.0000;276.803955;4.73734911E+20;0.00000000;335325.188;3000.00000
29100.0000;276.803955;4.75325140E+20;0.00000000;335700.031;3000.00000
29200.0000;276.803955;4.76915368E+20;0.00000000;336074.031;3000.00000
29300.0000;276.803955;4.78505596E+20;0.00000000;336447.219;3000.00000
29400.0000;276.803955;4.80095824E+20;0.00000000;336819.594;3000.00000
29500.0000;276.803955;4.81686052E+20;0.00000000;337191.125;3000.00000
29600.0000;276.803955;4.83276280E+20;0.00000000;337561.844;3000.00000
29700.0000;276.803955;4.84866508E+20;0.00000000;337931.750;3000.00000
29800.0000;276.803955;4.86456736E+20;0.00000000;338300.844;3000.00000
29900.0000;276.803955;4.88046964E+20;0.00000000;338669.156;3000.00000
30000.0000;276.803955;4.89637192E+20;0.00000000;339036.656;3000.00000
30100.0000;276.803955;4.91227420E+20;0.00000000;339403.375;3000.00000
30200.0000;276.803955;4.92817648E+20;0.00000000;339769.281;3000.00000
30300.0000;276.803955;4.94407876E+20;0.00000000;340134.406;3000.00000
30400.0000;276.803955;4.95998104E+20;0.00000000;340498.750;3000.00000
30500.0000;276.803955;4.97588332E+20;0.00000000;340862.312;3000.00000
30600.0000;276.803955;4.99178560E+20;0.00000000;341225.094;3000.00000
30700.0000;276.803955;5.00768789E+20;0.00000000;341587.125;3000.00000
30800.0000;276.803955;5.02359017E+20;0.00000000;341948.375;3000.00000
30900.0000;276.803955;5.03949245E+20;0.00000000;342308.875;3000.00000
31000.0000;276.803955;5.05539473E+20;0.00000000;342668.625;3000.00000
31100.0000;276.803955;5.07129701E+20;0.00000000;343027.625;3000.00000
31200.0000;276.803955;5.08719929E+20;0.00000000;343385.875;3000.00000
31300.0000;276.803955;5.10310157E+20;0.00000000;343743.375;3000.00000
31400.0000;276.803955;5.11900385E+20;0.00000000;344100.125;3000.00000
31500.0000;276.803955;5.13490613E+20;0.00000000;344456.125;3000.00000
31600.0000;276.803955;5.15080841E+20;0.00000000;344811.406;3000.00000
